object_id,name,location_label,location_name,type,accession,negative_number,upload_fname
10656,bone spoon fragment,,,,1934.514a,1934'514c~01,"Dura-Europos archival photograph, YUAG negative number 1934'514c~01 -object-id-10656.jpg"
10657,bone spoon fragment,,,,1934.513f,1934'514a~01,"Dura-Europos archival photograph, YUAG negative number 1934'514a~01 -object-id-10657.jpg"
10658,bone spoon bowl,,,,1934.513d,1934'513f~01,"Dura-Europos archival photograph, YUAG negative number 1934'513f~01 -object-id-10658.jpg"
10659,bone spoon bowl,,,,1934.513c,1934'513d~01,"Dura-Europos archival photograph, YUAG negative number 1934'513d~01 -object-id-10659.jpg"
10660,bone spoon bowl,,,,1934.510a,1934'513c~01,"Dura-Europos archival photograph, YUAG negative number 1934'513c~01 -object-id-10660.jpg"
10664,carved bone (?),,,,1933.592,1934'404b~01,"Dura-Europos archival photograph, YUAG negative number 1934'404b~01 -object-id-10664.jpg"
10666,opaque blue glass fragment,,,,1933.584,1933'585b~01,"Dura-Europos archival photograph, YUAG negative number 1933'585b~01 -object-id-10666.jpg"
10667,blue and white glass fragment - Egyptian technique,,,,1933.578c,1933'581~01,"Dura-Europos archival photograph, YUAG negative number 1933'581~01 -object-id-10667.jpg"
10668,glass fragment with raised design,,,,1933.578b,1933'578c~01,"Dura-Europos archival photograph, YUAG negative number 1933'578c~01 -object-id-10668.jpg"
10669,glass fragment with raised design,,,,1933.577,1933'578b~01,"Dura-Europos archival photograph, YUAG negative number 1933'578b~01 -object-id-10669.jpg"
10670,base of vase with raised pattern,,,,1933.576b,1933'577~01,"Dura-Europos archival photograph, YUAG negative number 1933'577~01 -object-id-10670.jpg"
10671,yellow glass fragment with incised lines,,,,1933.574d,1933'576b~01,"Dura-Europos archival photograph, YUAG negative number 1933'576b~01 -object-id-10671.jpg"
10672,glass fragment with pressed design,,,,1933.573b,1933'574d~01,"Dura-Europos archival photograph, YUAG negative number 1933'574d~01 -object-id-10672.jpg"
10674,base fragment from small vase with raised design,,,,1933.571a,1933'571b~01,"Dura-Europos archival photograph, YUAG negative number 1933'571b~01 -object-id-10674.jpg"
10675,base fragment from small vase with raised design,,,,1933.559,1933'571a~01,"Dura-Europos archival photograph, YUAG negative number 1933'571a~01 -object-id-10675.jpg"
10676,base of glass vase,,,,1933.557a,1933'559~01,"Dura-Europos archival photograph, YUAG negative number 1933'559~01 -object-id-10676.jpg"
