object_id,name,location_label,location_name,type,accession,negative_number,upload_fname
11068,arrow head,,(D7) Private houses,,1932.152,1932'1521~01,"Dura-Europos archival photograph, YUAG negative number 1932'1521~01 -object-id-11068.jpg"
1251,Bronze Fibula,,"[illegible] XX, 7, 8",,1938.1981,1938'1983~01,"Dura-Europos archival photograph, YUAG negative number 1938'1983~01 -object-id-1251.jpg"
15030,2 earrings,,1) House of the Court; 2) House of the Frescoes,,,dura-d360~01,"Dura-Europos archival photograph, YUAG negative number dura-d360~01 -object-id-15030.jpg"
7490,Pierced Bronze Ornaments,,"1) Temple of Zeus Kyrios, 3) ?, 4) Mithraeum",,,yale756,"Dura-Europos archival photograph, YUAG negative number yale756 -object-id-7490.jpg"
13425,Bronze Rings,,10) Synagogue: house of the Roman scribes,,,yale828,"Dura-Europos archival photograph, YUAG negative number yale828 -object-id-13425.jpg"
6089,"Plaster cornices (1930.545, 1931.392g)",,"1931.392g: d5, Orthonobazos",,1930.549,y760,"Dura-Europos archival photograph, YUAG negative number y760 -object-id-6089.jpg"
13524,Bronze Fibulae,,"2) Private Houses, 7) Synagogue; house of the Roman scribes",,,yale732,"Dura-Europos archival photograph, YUAG negative number yale732 -object-id-13524.jpg"
13523,Bronze Fibulae,,"2) Private Houses, 7) Synagogue: house of the Roman scribes",,"2) 1938.2046, 7) 1938.2043",yale733,"Dura-Europos archival photograph, YUAG negative number yale733 -object-id-13523.jpg"
13522,Bronze Fibulae,,2) Synagogue; house of the Roman scribes,,"2) 1938.2046, 7)1938.2043",yale734,"Dura-Europos archival photograph, YUAG negative number yale734 -object-id-13522.jpg"
13528,Bronze Fibulae,,"2) Synagogue; house of the Roman scribes, 5) Synagogue; house of the Roman scribes",,,yale726,"Dura-Europos archival photograph, YUAG negative number yale726 -object-id-13528.jpg"
13508,Pierced Bronze,,3) Bath,,,yale745,"Dura-Europos archival photograph, YUAG negative number yale745 -object-id-13508.jpg"
4571,Pierced Bronzes - Misc.,,6) Christian Building,,,yale747,"Dura-Europos archival photograph, YUAG negative number yale747 -object-id-4571.jpg"
13531,Bronze Fibulae,,6) private house. Roman Bath,,,yale723,"Dura-Europos archival photograph, YUAG negative number yale723 -object-id-13531.jpg"
1727,Enamelled Bronze Ornaments,,7) Mithraeum,,,yale739,"Dura-Europos archival photograph, YUAG negative number yale739 -object-id-1727.jpg"
13403,Enamelled Bronzes - ornaments,,7) Mithraeum,,,yale849,"Dura-Europos archival photograph, YUAG negative number yale849 -object-id-13403.jpg"
8540,"Bronze Fibulae, Hooks, and Rings",,8) m9 (?),,1938.2587,yale839,"Dura-Europos archival photograph, YUAG negative number yale839 -object-id-8540.tif"
13512,"Jewelry, much enameled",,9) Private Houses,,7) 1933.637a,yale740,"Dura-Europos archival photograph, YUAG negative number yale740 -object-id-13512.jpg"
9609,Two Fragments of Sculpture,,a and b) Temple of Artemis,,"a) 1929.391, 1938.5345",yale1454,"Dura-Europos archival photograph, YUAG negative number yale1454 -object-id-9609.jpg"
4195,Drains south of kiln in A-42,,"A-42, Area West of St. Theodore",,,gerasa-a112~01 A-112,"Dura-Europos archival photograph, YUAG negative number gerasa-a112~01 A-112 -object-id-4195.jpg"
11873,Green Glazed Pitchers,,"a) Baghouz, b) private houses, shops",,1938.4806,yale1219,"Dura-Europos archival photograph, YUAG negative number yale1219 -object-id-11873.jpg"
12404,Fragments of textiles,,a) embankment l7,,1938.5548,yale1574,"Dura-Europos archival photograph, YUAG negative number yale1574 -object-id-12404.jpg"
11879,Green Glazed Pitchers,,"a) g7, b) tomb 24, c) tomb 40",,"a) 1931.443, b) 1935.532, c) 1935.538",yale1213,"Dura-Europos archival photograph, YUAG negative number yale1213 -object-id-11879.jpg"
12466,"a) Plaster Cake, b) Alabaster Statuette",,a) House of Lusias,,"a) 1938.5332, 1938.5355",yale1506,"Dura-Europos archival photograph, YUAG negative number yale1506 -object-id-12466.jpg"
11796,Painted Plaster Block,,"a) House of Scribes, b) private houses",,1933.295,yale1298,"Dura-Europos archival photograph, YUAG negative number yale1298 -object-id-11796.jpg"
14027,"Green Glazed Small Jug, Two Handles",,"a) Main Gate (Palmyrene Gate), b) n/a",,"a) a933.342, b) 1931.451",yale1139,"Dura-Europos archival photograph, YUAG negative number yale1139 -object-id-14027.jpg"
14013,"Green Glazed Small Jug, Two Handles",,"a) Main Street, b) Baghouz",,"a) 1935.529, b) 1935.528, c) 1935.72",yale1153,"Dura-Europos archival photograph, YUAG negative number yale1153 -object-id-14013.jpg"
11812,Green Glazed Vases,,"a) Mithraeum, Barracks, b) Tychaeum, private houses",,"a) 1935.519, b) 1938.4845",yale1281,"Dura-Europos archival photograph, YUAG negative number yale1281 -object-id-11812.jpg"
11808,Green Glazed Vase,,"a) n/a, b) christian building, private houses",,"a) 1933.327c, b) 1938.4879, c) 1931.577d, d) 1932.1268, e) 1938.4880, 1938.4868, 1938.4866",yale1285,"Dura-Europos archival photograph, YUAG negative number yale1285 -object-id-11808.jpg"
12487,Green Glazed Vases,,"a) n/a, b) military temple",,1938.4844,yale1275,"Dura-Europos archival photograph, YUAG negative number yale1275 -object-id-12487.jpg"
11827,Green Glazed Vases,,"a) n/a, b) Necroplolis, tomb 13",,"a) 1935.508, b) 1933.332",yale1268,"Dura-Europos archival photograph, YUAG negative number yale1268 -object-id-11827.jpg"
11811,Green Glazed Vases,,"a) n/a, b) private houses, barracks,",,"a) 1933.334, b) 1935.66",yale1282,"Dura-Europos archival photograph, YUAG negative number yale1282 -object-id-11811.jpg"
14022,"Green Glazed Small Jug, Two Handles",,"a) n/a, b) private houses, c) n/a",,"a) 1935.71, b) 1935.526",yale1144,"Dura-Europos archival photograph, YUAG negative number yale1144 -object-id-14022.jpg"
13405,Clay Figurines,,"a) n/a, b) Private Houses, shops, c) Bath",,,yale847,"Dura-Europos archival photograph, YUAG negative number yale847 -object-id-13405.jpg"
14040,Green Glazed Cylinder Jars,,"a) n/a, b) Street",,"a) 1938.4761, b) 1938.4773",yale1126,"Dura-Europos archival photograph, YUAG negative number yale1126 -object-id-14040.jpg"
14024,"Green Glazed Small Jug, Two Handles",,"a) n/a, b) tomb 40",,"a) 1935.524, b) 1935.70",yale1142,"Dura-Europos archival photograph, YUAG negative number yale1142 -object-id-14024.jpg"
11886,Green Glazed Pitchers,,"a) n/a, b) tomb 6, c) n/a",,"a) 1931.465, b) 1932.1276, c) 1935.535",yale1206,"Dura-Europos archival photograph, YUAG negative number yale1206 -object-id-11886.jpg"
11880,Green Glazed Pitchers,,"a) n/a, b) tomb 6, c) tomb 24",,"a) 1935.531, b) 1938.4801, c) 1935.534",yale1212,"Dura-Europos archival photograph, YUAG negative number yale1212 -object-id-11880.jpg"
11887,Green Glazed Pitchers,,"a) n/a, b)private houses, c) n/a",,1933.27,yale1205,"Dura-Europos archival photograph, YUAG negative number yale1205 -object-id-11887.jpg"
14043,Green Glazed Cylinder Jars,,"a) Necropolis, tomb 13, b) Necropolis, tomb 14, c) n/a",,"a) 1938.4768, b) 1938.4772, c) 1938.4770, d) 1938.4763",yale1123,"Dura-Europos archival photograph, YUAG negative number yale1123 -object-id-14043.jpg"
11843,Green Glazed Vase,,"a) Necropolis, tomb 16, b) Baghouz 233",,1938.4825,yale1251,"Dura-Europos archival photograph, YUAG negative number yale1251 -object-id-11843.jpg"
11884,Green Glazed Pitchers,,"a) Necropolis, tomb 40, b) Baghouz, c) Necropolis, tomb 47",,"a) 1935.536, b) 1935.69",yale1208,"Dura-Europos archival photograph, YUAG negative number yale1208 -object-id-11884.jpg"
14044,Green Glazed Cylinder Jars,,"a) Necropolis, tomb 40, b) Necropolis, tomb 40, c) Baghouz, d) Necropolis, tomb 40",,"a) 1931.437, b) 1935.547, c) 1935.545, d) 1935.546",yale1122,"Dura-Europos archival photograph, YUAG negative number yale1122 -object-id-14044.jpg"
14046,Green Glazed Cylinder Jars,,"a) Necropolis, tomb 40, b) private houses, shops, c) italebich,d) Necropolis, tomb 40",,1938.4725,yale1120,"Dura-Europos archival photograph, YUAG negative number yale1120 -object-id-14046.jpg"
14039,Green Glazed Cylinder Jars,,"a) Necropolis, tomb 40, b) Tychaeum, private houses",,"a) 1931.436, b) 1938.4775",yale1127,"Dura-Europos archival photograph, YUAG negative number yale1127 -object-id-14039.jpg"
14041,Green Glazed Cylinder Jars,,"a) Necropolis, tomb 55, b) Baghouz",,"a) 1935.541, b) 1935.544, c) 1935.542",yale1125,"Dura-Europos archival photograph, YUAG negative number yale1125 -object-id-14041.jpg"
11826,Green Glazed Vase,,"a) Necropolis, tomb 7",,"a) 1938.4837, b) 1935.509",yale1269,"Dura-Europos archival photograph, YUAG negative number yale1269 -object-id-11826.jpg"
11832,Green Glazed Vase,,"a) Necropolis, tomb 7, b) Baghouz e9",,"a) 1932.1283, b) 1935.506",yale1263,"Dura-Europos archival photograph, YUAG negative number yale1263 -object-id-11832.jpg"
11781,Clay Figurines,,a) Parthian Baths,,"a) 1932.1254, b) 1933.329",yale1315,"Dura-Europos archival photograph, YUAG negative number yale1315 -object-id-11781.jpg"
14057,Clay Lamps,,"a) Parthian Baths, Amphitheatre",,"1932.1371, 1938.4739, 1938.4740, 1938.4745",yale1108,"Dura-Europos archival photograph, YUAG negative number yale1108 -object-id-14057.jpg"
14045,Green Glazed Cylinder Jars,,"a) pivate houses, b) Necropolis, tomb 7, c) Necropolis, tomb 13, d) Necropolis, tomb 7",,"a) 1938.4765, b) 1932.1281, c) 1938.4771, d) 1938.4769",yale1121,"Dura-Europos archival photograph, YUAG negative number yale1121 -object-id-14045.jpg"
14011,"Green Glazed Small Jug, Two Handles",,"a) pivate houses, b) private houses",,"a) 1931.447, b) 1931.453",yale1155,"Dura-Europos archival photograph, YUAG negative number yale1155 -object-id-14011.jpg"
11824,Green Glazed Vases,,a) private houses,,"a) 1935.518, b)1935.4840",yale1271,"Dura-Europos archival photograph, YUAG negative number yale1271 -object-id-11824.jpg"
11855,Green Glazed Handles from Jugs,,a) private houses,,"a) 1933.341, b) 1931.471c",yale1238,"Dura-Europos archival photograph, YUAG negative number yale1238 -object-id-11855.jpg"
11856,Green Glazed Small Jug Fragments,,a) private houses,,"a0 1931.576c, 1938.4812",yale1237,"Dura-Europos archival photograph, YUAG negative number yale1237 -object-id-11856.jpg"
12500,Fragments of Sculptures,,a) private houses,,1931.411,yale1471,"Dura-Europos archival photograph, YUAG negative number yale1471 -object-id-12500.jpg"
11840,Green Glazed Vase,,"a) private houses, b) n/a",,"a) 1933.333, B) 1938.4829",yale1254,"Dura-Europos archival photograph, YUAG negative number yale1254 -object-id-11840.jpg"
14019,"Green Glazed Small Jug, Two Handles",,"a) private houses, b) n/a",,"a) 1931.460, b)( 1931.458, c) 1931.457",yale1147,"Dura-Europos archival photograph, YUAG negative number yale1147 -object-id-14019.jpg"
14026,"Green Glazed Small Jug, Two Handles",,"a) private houses, b) n/a",,"a) 1930.523, b) 1931.452",yale1140,"Dura-Europos archival photograph, YUAG negative number yale1140 -object-id-14026.jpg"
14010,"Green Glazed Small Jug, Two Handles",,"a) private houses, b) n/a, c) n/a",,"a) 1931.461, b) 1931.440",yale1156,"Dura-Europos archival photograph, YUAG negative number yale1156 -object-id-14010.jpg"
11839,Green Glazed Vase,,"a) private houses, b) Necropolis, tomb 36",,"a) 1933.333, B) 1929.480",yale1255,"Dura-Europos archival photograph, YUAG negative number yale1255 -object-id-11839.jpg"
11841,Green Glazed Vase,,"a) private houses, b) Necropolis, tomb 36",,1938.4823,yale1253,"Dura-Europos archival photograph, YUAG negative number yale1253 -object-id-11841.jpg"
11828,Green Glazed Vases,,"a) private houses, b) private houses",,1931.468,yale1267,"Dura-Europos archival photograph, YUAG negative number yale1267 -object-id-11828.jpg"
11782,Clay Figurine and Plaster Mould,,"a) private houses, b) private houses, Roman bath",,"1938.4937, 1933.312",yale1314,"Dura-Europos archival photograph, YUAG negative number yale1314 -object-id-11782.jpg"
11815,Green Glazed Vases,,"a) private houses, b) Street f",,"a) 1938.4843, b) 1935.504",yale1278,"Dura-Europos archival photograph, YUAG negative number yale1278 -object-id-11815.jpg"
14090,Clay Lamps,,"a) Private Houses, Barracks",,"1932.1369, 1938.4650, 1932.1382, 1938.4654, 1933.354",yale1073,"Dura-Europos archival photograph, YUAG negative number yale1073 -object-id-14090.jpg"
12507,Two Fragments of Sculpture,,"a) private houses, Barracks, b) private houses, Barracks",,1932.1221,yale1464,"Dura-Europos archival photograph, YUAG negative number yale1464 -object-id-12507.jpg"
14054,Clay Lamps,,"a) private houses, Roman Baths",,"a) 1931.481, 1938.4746, 1938.4744, 1938.4743",yale1111,"Dura-Europos archival photograph, YUAG negative number yale1111 -object-id-14054.jpg"
11878,Green Glazed Pitchers,,"a) private houses, shops",,"a) 1938.4799, b) 1935.537, c) 1938.4800",yale1214,"Dura-Europos archival photograph, YUAG negative number yale1214 -object-id-11878.jpg"
11830,Green Glazed Vase,,"a) private houses, shops, b) street 7",,1938.4838,yale1265,"Dura-Europos archival photograph, YUAG negative number yale1265 -object-id-11830.jpg"
11858,Green Glazed Small Jug Fragments,,a) Redoubt Palace,,1938.4814,yale1235,"Dura-Europos archival photograph, YUAG negative number yale1235 -object-id-11858.jpg"
6424,Green Glazed Vases,,"a) Roman Bath, private houses, b) Temple of Adonis",,"a) 1935.516, b) 1931.432",yale1273,"Dura-Europos archival photograph, YUAG negative number yale1273 -object-id-6424 replaced.jpg"
6813,Clay Figurines,,"a) Temple of Aphlad, private houses",,1938.4833,yale1313,"Dura-Europos archival photograph, YUAG negative number yale1313 -object-id-6813.tif"
9346,Clay Lamps,,"a) Temple of Aphlad, private houses",,"a) 1933.360, 1932.1372b, 1933.368b, 1932.1373, 1938.4647",yale1071,"Dura-Europos archival photograph, YUAG negative number yale1071 -object-id-9346.tif"
11805,Green Glazed Fragments and Decoration,,"a) Temple of Aphlad, private houses, b) temple of Zeus Kyrios, c) synagogue, private houses",,"a) 1932.1297, b) 1938.4872, c) 1929.473d",yale1288,"Dura-Europos archival photograph, YUAG negative number yale1288 -object-id-11805.jpg"
13124,Fragment of Plaster Bas-Relief,,a) Temple of the Gadde,,1930.321,yale1505,"Dura-Europos archival photograph, YUAG negative number yale1505 -object-id-13124.tif"
2326,Green Glazed Vases,,"a) Temple of Zeus Kyrios, b) private houses",,"a) 1935.521, b) 1938.4839",yale1270,"Dura-Europos archival photograph, YUAG negative number yale1270 -object-id-2326.tif"
776,Green Glazed Pitchers,,"a) Temple of Zeus Kyrios, b) private houses, shops",,"1931.437c, 1931.467b",yale1217,"Dura-Europos archival photograph, YUAG negative number yale1217 -object-id-776.tif"
11872,Green Glazed Bowl and Bottle,,"a) tomb 12, b) private houses, shops",,"a) 1938.4808, b) 1938.4802",yale1221,"Dura-Europos archival photograph, YUAG negative number yale1221 -object-id-11872.jpg"
14014,"Green Glazed Small Jug, Two Handles",,"a) tomb 24, b) n/a, c) Mithraeum, barracks",,1931.439,yale1152,"Dura-Europos archival photograph, YUAG negative number yale1152 -object-id-14014.jpg"
11816,Green Glazed Vases,,a) tomb 40,,"a) 1933.335, bb) 1932.1290",yale1277,"Dura-Europos archival photograph, YUAG negative number yale1277 -object-id-11816.jpg"
11655,Three Alabastrans Fragments,,a) tomb 49,,,yale1438,"Dura-Europos archival photograph, YUAG negative number yale1438 -object-id-11655.jpg"
11883,Green Glazed Pitchers,,"a) tomb 6, b) n/a",,"a) 1938.4795, b) 1938.4797, c) 1938.4796",yale1209,"Dura-Europos archival photograph, YUAG negative number yale1209 -object-id-11883.jpg"
11881,Green Glazed Pitchers,,"a) tomb 6, b) tomb 24, c) tomb 23",,"a) 1935.531, b) 1938.4801, c) 1935.534",yale1211,"Dura-Europos archival photograph, YUAG negative number yale1211 -object-id-11881.jpg"
11882,Green Glazed Pitchers,,"a) tomb 6, b) tomb 24, c) tomb 23",,"a) 1935.539, b) 1929.378, 1931.463",yale1210,"Dura-Europos archival photograph, YUAG negative number yale1210 -object-id-11882.jpg"
11885,Green Glazed Pitchers,,"a) tomb 7, b) tychaeum, private houses",,"a) 1931.466, b) 1935.533, c) 1930.521",yale1207,"Dura-Europos archival photograph, YUAG negative number yale1207 -object-id-11885.jpg"
12352,Fragments of textiles,,a) Tomb IV,,"a) 1938.5562, b) 1938.5555, c) 1938.5476, d) 1938.5496",yale1630,"Dura-Europos archival photograph, YUAG negative number yale1630 -object-id-12352.jpg"
12361,Fragments of textiles,,a) Tomb IV,,1933.498,yale1621,"Dura-Europos archival photograph, YUAG negative number yale1621 -object-id-12361.jpg"
11755,Green Glazed Fragments,,"a) Tychaeum, private houses",,"a) 1938.4563, b) 1934.614, c) 1938.5142, d) 1938.5114, e) 1938.5140, f) 1938.5121, g) 1938.5143",yale1341,"Dura-Europos archival photograph, YUAG negative number yale1341 -object-id-11755.jpg"
11810,Green Glazed Fragments and Decorations,,"a) Tychaeum, private houses",,"a) 1931.471, b) 1935.522",yale1283,"Dura-Europos archival photograph, YUAG negative number yale1283 -object-id-11810.jpg"
12240,Lamps,,"a) Tychaeum, private houses, b) private houses, shops",,1938.4762,yale1731,"Dura-Europos archival photograph, YUAG negative number yale1731 -object-id-12240.jpg"
14023,"Green Glazed Small Jug, Two Handles",,"a) tychaeum, private houses, b) Tower 19",,"a) 4790, b) 1938.4789",yale1143,"Dura-Europos archival photograph, YUAG negative number yale1143 -object-id-14023.jpg"
12514,Two Plaster Heads,,a) x9,,"a) 1939.540, b) 1938.5344",yale1455,"Dura-Europos archival photograph, YUAG negative number yale1455 -object-id-12514.jpg"
11543,"Aerial view of Dura, South sector",,Aerial view,,,z6,"Dura-Europos archival photograph, YUAG negative number z6 -object-id-11543.jpg"
11557,"Aerial view of Dura, Northeast corner",,Aerial View,,,z5,"Dura-Europos archival photograph, YUAG negative number z5 -object-id-11557.jpg"
11570,"Aerial view of Dura, Sotheast corner",,Aerial view,,,z4,"Dura-Europos archival photograph, YUAG negative number z4 -object-id-11570.jpg"
11578,Aerial view of Dura from the North,,Aerial View,,,z33,"Dura-Europos archival photograph, YUAG negative number z33 -object-id-11578.jpg"
11582,"Aerial view, west side",,Aerial view,,,z3,"Dura-Europos archival photograph, YUAG negative number z3 -object-id-11582.jpg"
11592,Aerial view of Dura from the North,,Aerial view,,,z2,"Dura-Europos archival photograph, YUAG negative number z2 -object-id-11592.jpg"
2992,"Bahgus: Tomb z 42, 45, 66, 67, 68, 106, 59, 51; Bronze arrow heads.",,Baghouz (Bahgus),,,h251a,"Dura-Europos archival photograph, YUAG negative number h251a -object-id-2992.jpg"
3754,Bahgus: Tomb ? Clay jar.,,Baghouz (Bahgus),,,h400b,"Dura-Europos archival photograph, YUAG negative number h400b -object-id-3754.jpg"
3755,"Bahgus: Tomb z 38, clay vase.",,Baghouz (Bahgus),,,h399b,"Dura-Europos archival photograph, YUAG negative number h399b -object-id-3755.jpg"
3757,Bahgus: Tomb z 83. Bone box.,,Baghouz (Bahgus),,,h396b,"Dura-Europos archival photograph, YUAG negative number h396b -object-id-3757.jpg"
3758,"Bahgus: Tomb z 71 and 78, Parthian coins. (reverse of 394)",,Baghouz (Bahgus),,,h395b,"Dura-Europos archival photograph, YUAG negative number h395b -object-id-3758.jpg"
3759,"Bahgus: Tomb z 71 and 78, Parthian coins.",,Baghouz (Bahgus),,,h394b,"Dura-Europos archival photograph, YUAG negative number h394b -object-id-3759.jpg"
3760,Bahgus: Wooden Coffin.,,Baghouz (Bahgus),,,h393b,"Dura-Europos archival photograph, YUAG negative number h393b -object-id-3760.jpg"
3761,Bahgus: Wooden Coffin.,,Baghouz (Bahgus),,,h392b,"Dura-Europos archival photograph, YUAG negative number h392b -object-id-3761.jpg"
3762,"Bahgus: Clay sarcophagus, upper part.",,Baghouz (Bahgus),,,h391b,"Dura-Europos archival photograph, YUAG negative number h391b -object-id-3762.jpg"
3763,"Bahgus: Clay sarcophagus, lower part.",,Baghouz (Bahgus),,,h390b,"Dura-Europos archival photograph, YUAG negative number h390b -object-id-3763.jpg"
3764,"Bahgus: Clay sarcophagus, upper part.",,Baghouz (Bahgus),,,h389b,"Dura-Europos archival photograph, YUAG negative number h389b -object-id-3764.jpg"
3765,"Bahgus: Clay sarcophagus, lower part.",,Baghouz (Bahgus),,,h388b,"Dura-Europos archival photograph, YUAG negative number h388b -object-id-3765.jpg"
3766,Bahgus: Clay Sarcophagus.,,Baghouz (Bahgus),,,h387b,"Dura-Europos archival photograph, YUAG negative number h387b -object-id-3766.jpg"
3767,Bahgus: Clay sarcophagus.,,Baghouz (Bahgus),,,h386b,"Dura-Europos archival photograph, YUAG negative number h386b -object-id-3767.jpg"
3768,"Bahgus: Clay sarcophagus, upper part.",,Baghouz (Bahgus),,,h385b,"Dura-Europos archival photograph, YUAG negative number h385b -object-id-3768.jpg"
3769,Bahgus: Tomb z 56. inside view.,,Baghouz (Bahgus),,,h384b,"Dura-Europos archival photograph, YUAG negative number h384b -object-id-3769.jpg"
3770,"Bahgus: Tomb z 66, inside view.",,Baghouz (Bahgus),,,h383b,"Dura-Europos archival photograph, YUAG negative number h383b -object-id-3770.jpg"
3771,Bahgus: Tomb z 67. inside view.,,Baghouz (Bahgus),,,h382b,"Dura-Europos archival photograph, YUAG negative number h382b -object-id-3771.jpg"
3772,Bahgus: Tomb z 73.,,Baghouz (Bahgus),,,h381b,"Dura-Europos archival photograph, YUAG negative number h381b -object-id-3772.jpg"
3773,Bahgus: Tomb z 83.,,Baghouz (Bahgus),,,h380b,"Dura-Europos archival photograph, YUAG negative number h380b -object-id-3773.jpg"
3774,Bahgus: Tomb z 76.,,Baghouz (Bahgus),,,h379b,"Dura-Europos archival photograph, YUAG negative number h379b -object-id-3774.jpg"
3775,"Bahgus: Tower Abu Dzlal, general view.",,Baghouz (Bahgus),,,h378b,"Dura-Europos archival photograph, YUAG negative number h378b -object-id-3775.jpg"
3776,"Bahgus: Tower Abu Dzlal, general view.",,Baghouz (Bahgus),,,h377b,"Dura-Europos archival photograph, YUAG negative number h377b -object-id-3776.jpg"
3857,"Bahgus: Tomb z 78, 71, 72; Small objects.",,Baghouz (Bahgus),,,h264a,"Dura-Europos archival photograph, YUAG negative number h264a -object-id-3857.jpg"
3858,"Bahgus: Tomb z 69, 100, 49, E2. z 44, 34; Small objects.",,Baghouz (Bahgus),,,h263a,"Dura-Europos archival photograph, YUAG negative number h263a -object-id-3858.jpg"
3859,"Bahgus: Tomb z 10, 75, 81; Small objects.",,Baghouz (Bahgus),,,h262a,"Dura-Europos archival photograph, YUAG negative number h262a -object-id-3859.jpg"
3860,"Bahgus: Tomb z 43, 93, 98,; Small objects.",,Baghouz (Bahgus),,,h261a,"Dura-Europos archival photograph, YUAG negative number h261a -object-id-3860.jpg"
3861,Bahgus: Tomb z 37; Small objects.,,Baghouz (Bahgus),,,h260a,"Dura-Europos archival photograph, YUAG negative number h260a -object-id-3861.tif"
3862,Bahgus: Tomb z 37; Small objects.,,Baghouz (Bahgus),,,h259a,"Dura-Europos archival photograph, YUAG negative number h259a -object-id-3862.jpg"
3863,"Bahgus: Tomb z 39, 57, 65, E5, z 52, z 65. Small objects.",,Baghouz (Bahgus),,,h258a,"Dura-Europos archival photograph, YUAG negative number h258a -object-id-3863.tif"
3864,Bahgus: Tomb z 83; small objects.,,Baghouz (Bahgus),,,h257a,"Dura-Europos archival photograph, YUAG negative number h257a -object-id-3864.tif"
3865,Bahgus: Tomb z 80; small objects.,,Baghouz (Bahgus),,,h256a,"Dura-Europos archival photograph, YUAG negative number h256a -object-id-3865.jpg"
3866,"Bahgus: ""Grand tombeau""; small objects.",,Baghouz (Bahgus),,,h255a,"Dura-Europos archival photograph, YUAG negative number h255a -object-id-3866.jpg"
3867,"Bahgus: ""Grand tombeau""; small finds.",,Baghouz (Bahgus),,,h254a,"Dura-Europos archival photograph, YUAG negative number h254a -object-id-3867.jpg"
3868,Bahgus: Tomb z 47; small objects.,,Baghouz (Bahgus),,,h253a,"Dura-Europos archival photograph, YUAG negative number h253a -object-id-3868.jpg"
3869,Bahgus: Tomb G 754; small finds.,,Baghouz (Bahgus),,,h252a,"Dura-Europos archival photograph, YUAG negative number h252a -object-id-3869.tif"
3873,"Bahgus: Tomb z 47, 47, 43, 101, 21, 71; Bowls and plates.",,Baghouz (Bahgus),,,h249a,"Dura-Europos archival photograph, YUAG negative number h249a -object-id-3873.jpg"
3874,"Bahgus: Tomb z 73, 70, 24, ?, 63, 71; Common ware.",,Baghouz (Bahgus),,,h248a,"Dura-Europos archival photograph, YUAG negative number h248a -object-id-3874.jpg"
3875,"Bahgus: Tomb z ?, 72, 72; Jugs.",,Baghouz (Bahgus),,,h246a,"Dura-Europos archival photograph, YUAG negative number h246a -object-id-3875.jpg"
3876,"Bahgus: Tomb z 55, 95; Jars.",,Baghouz (Bahgus),,,h245a,"Dura-Europos archival photograph, YUAG negative number h245a -object-id-3876.jpg"
3877,Bahgus: Tomb z 47; Jugs.,,Baghouz (Bahgus),,,h244a,"Dura-Europos archival photograph, YUAG negative number h244a -object-id-3877.jpg"
3878,"Bahgus: Tomb z 37, 37, 82, 2, 20, 80, 27, 48, 78; Common ware.",,Baghouz (Bahgus),,,h243a,"Dura-Europos archival photograph, YUAG negative number h243a -object-id-3878.jpg"
3879,Bahgus: Tomb z 41; Jugs.,,Baghouz (Bahgus),,,h242a,"Dura-Europos archival photograph, YUAG negative number h242a -object-id-3879.jpg"
3880,"Bahgus: Tomb z 67, 29; Jars.",,Baghouz (Bahgus),,,h241a,"Dura-Europos archival photograph, YUAG negative number h241a -object-id-3880.jpg"
3881,"Bahgus: Tomb z 19, 71; Jars.",,Baghouz (Bahgus),,,h240a,"Dura-Europos archival photograph, YUAG negative number h240a -object-id-3881.jpg"
3882,Bahgus: Tomb z 66; Jar.,,Baghouz (Bahgus),,,h239a,"Dura-Europos archival photograph, YUAG negative number h239a -object-id-3882.jpg"
3883,"Bahgus: Tomb z 56, 56, 56, 37, 99, 99, 37; Bowls.",,Baghouz (Bahgus),,,h238a,"Dura-Europos archival photograph, YUAG negative number h238a -object-id-3883.jpg"
3884,Bahgus: Tomb z 82; Bowls and jug.,,Baghouz (Bahgus),,,h237a,"Dura-Europos archival photograph, YUAG negative number h237a -object-id-3884.jpg"
3885,"Bahgus: Tomb z 78, 39, 37; Storage jars.",,Baghouz (Bahgus),,,h236a,"Dura-Europos archival photograph, YUAG negative number h236a -object-id-3885.jpg"
3886,"Bahgus: Tomb z 27, 55, 96, 89, 77, 50; Jugs.",,Baghouz (Bahgus),,,h235a,"Dura-Europos archival photograph, YUAG negative number h235a -object-id-3886.jpg"
3887,Bahgus: Tomb z 41; Jugs.,,Baghouz (Bahgus),,,h234a,"Dura-Europos archival photograph, YUAG negative number h234a -object-id-3887.jpg"
3888,"Bahgus: Tomb z 39, 78, 37; Storage jars.",,Baghouz (Bahgus),,,h233a,"Dura-Europos archival photograph, YUAG negative number h233a -object-id-3888.jpg"
3889,"Bahgus: Tomb z 39, -22; Jars.",,Baghouz (Bahgus),,,h232a,"Dura-Europos archival photograph, YUAG negative number h232a -object-id-3889.jpg"
3890,"Bahgus: Tomb z 71, 41; Plates.",,Baghouz (Bahgus),,,h231a,"Dura-Europos archival photograph, YUAG negative number h231a -object-id-3890.jpg"
3891,"Bahgus: Tomb z 66; E4, Z 38; Common ware.",,Baghouz (Bahgus),,,h230a,"Dura-Europos archival photograph, YUAG negative number h230a -object-id-3891.jpg"
3892,Bahgus: Tomb z 83; Jugs and bowl.,,Baghouz (Bahgus),,,h229a,"Dura-Europos archival photograph, YUAG negative number h229a -object-id-3892.jpg"
3893,"Bahgus: Tomb z 70, 64; Jar.",,Baghouz (Bahgus),,,h228a,"Dura-Europos archival photograph, YUAG negative number h228a -object-id-3893.jpg"
