object_id,name,link,image_link,location_label,location_name,type,accession,negative_number,image_source,image_type
13778,"Reed arrows, lamp and parchment",https://library.artstor.org/#/asset/SS7730479_7730479_10835348,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895159.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),arrow,,dura-b170~01,Dura field photo,film negative
13776,chariot wheels found near Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10835356,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895161.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate)/Tychaeum,wheel,,dura-b172~01,Dura field photo,glass negative
13775,"Bust, KOMODOS",https://library.artstor.org/#/asset/SS7730479_7730479_10872203,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895162.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,1929.36,dura-b173~01,Dura field photo,film negative
13772,plaster and stone fragments found near Main Gate,https://library.artstor.org/#/asset/SS7730479_7730479_10835361,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895164.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),fragment,,dura-b175~01,Dura field photo,glass negative
13770,Group of laborers and foremen within Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10835373,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895166.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b178~01,Dura field photo,glass negative
4592,"Main Gate (Palmyrene Gate) passage, top of central arch",https://library.artstor.org/#/asset/SS7730479_7730479_10847743,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3916214.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),jar,,dura-b17a~01,Dura field photo,glass negative
13768,"Main Gate (Palmyrene Gate), s. side of passage from desert side",https://library.artstor.org/#/asset/SS7730479_7730479_10872207,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895168.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,,dura-b18~01,Dura field photo,film negative
4590,"Main Gate (Palmyrene Gate), city side (beginning of work)",https://library.artstor.org/#/asset/SS7730479_7730479_10847750,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3916516.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),jar,,dura-b19~01,Dura field photo,film negative
4589,"Main Gate (Palmyrene Gate), door into s. tower",https://library.artstor.org/#/asset/SS7730479_7730479_10847754,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3916825.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),jar,,dura-b21~01,Dura field photo,glass negative
13742,Inscription c.8 cut in stone on wall,https://library.artstor.org/#/asset/SS7730479_7730479_10872245,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895192.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),inscription,,dura-b210~01,Dura field photo,film negative
